Player,Team,Year,WARP,Age,DRA,GS,IPGS,ERA,RA9,FIP,WHIP,K,BB,KBB,Whiff,Swing,OSwing,ZSwing,OContact,ZContact,Contact,Zone,CSProb,Strike,Ball,FStrike,CStr,FAWhiff,CUWhiff,SLWhiff,CHWhiff,QO,Length,Total,AAV
Zack Wheeler,PHI,2024,4.7,34,3.58,32,6.25,2.56,2.79,3.2,0.95,28.5,6.6,21.9,27.6,51.1,37.7,71.0,61.0,81.4,72.4,40.3,0.47,49.6,34.4,64.3,14.4,24.7,38.5,26.8,40.5,0.0,3.0,126000000.0,42000000.0
Yusei Kikuchi,2TM,2024,4.4,33,3.46,32,5.49,4.05,4.35,3.39,1.2,28.0,6.0,22.0,29.1,48.2,31.9,68.9,55.0,80.2,70.9,44.1,0.5,48.7,34.7,65.4,16.9,28.1,28.0,29.4,35.8,0.0,3.0,63675000.0,21225000.0
Corbin Burnes,BAL,2024,4.1,29,3.75,32,6.07,2.92,3.52,3.48,1.1,23.1,6.1,17.0,28.7,48.6,36.6,68.2,54.5,86.0,71.3,38.1,0.45,46.0,35.5,63.9,15.7,18.8,37.8,46.2,37.7,0.0,6.0,210000000.0,35000000.0
Max Fried,ATL,2024,4.1,30,3.51,29,6.01,3.25,3.67,3.41,1.16,23.2,8.0,15.3,24.1,45.7,31.8,65.7,60.7,86.5,75.9,40.9,0.48,46.1,36.5,64.8,17.7,16.9,36.9,32.8,24.9,1.0,8.0,218000000.0,27250000.0
Nathan Eovaldi,TEX,2024,3.8,34,3.68,29,5.89,3.8,3.9,3.76,1.11,23.9,6.0,17.8,26.8,52.1,38.1,69.9,57.2,84.4,73.2,43.9,0.51,49.5,32.2,65.7,15.6,17.8,35.5,20.9,36.6,0.0,3.0,75000000.0,25000000.0
Sean Manaea,NYM,2024,2.8,32,4.22,32,5.68,3.47,3.72,3.91,1.08,24.9,8.5,16.4,26.3,48.8,33.1,69.8,58.5,83.4,73.7,42.7,0.49,48.9,35.0,59.8,15.9,23.1,0.0,33.1,25.5,0.0,3.0,75000000.0,25000000.0
Luis Severino,NYM,2024,2.8,30,4.28,31,5.87,3.91,4.25,4.29,1.24,21.2,7.9,13.3,21.9,50.3,32.9,72.5,64.2,86.2,78.1,44.0,0.5,47.0,34.8,63.5,14.7,17.7,0.0,33.2,18.4,1.0,3.0,66999999.0,22333333.0
Reynaldo Lopez,ATL,2024,2.6,30,3.95,25,5.43,1.99,2.12,2.99,1.11,27.3,7.7,19.5,27.5,49.0,34.0,69.1,55.5,83.8,72.5,42.7,0.5,48.8,34.6,64.3,16.4,16.5,36.4,44.5,34.9,0.0,3.0,30000000.0,10000000.0
Michael Wacha,KC,2024,2.2,32,4.43,29,5.75,3.35,3.51,3.58,1.19,21.2,6.6,14.6,23.4,48.0,32.6,68.5,63.9,84.7,76.6,42.9,0.49,45.6,35.6,64.5,15.9,14.2,17.4,22.9,34.3,0.0,3.0,51000000.0,17000000.0
Blake Snell,SF,2024,2.0,31,3.91,20,5.2,3.12,3.29,2.5,1.05,34.7,10.5,24.2,37.8,45.4,35.5,64.3,48.1,77.0,62.2,34.4,0.41,49.7,37.4,64.4,16.6,24.5,49.8,45.2,47.2,0.0,5.0,182000000.0,36400000.0
Patrick Sandoval,LAA,2024,1.2,27,4.33,16,4.98,5.08,5.54,3.8,1.51,22.9,9.9,13.0,26.3,45.8,29.2,68.8,57.1,83.4,73.7,41.9,0.49,46.7,37.1,55.5,16.8,15.0,26.8,24.5,39.0,0.0,2.0,18250000.0,9125000.0
Frankie Montas,2TM,2024,1.1,31,5.02,30,5.02,4.84,5.32,4.78,1.37,22.6,10.1,12.5,25.0,48.4,31.6,72.6,62.2,83.1,75.0,40.9,0.47,46.8,36.7,63.1,14.6,19.2,0.0,26.2,42.3,0.0,2.0,34000000.0,17000000.0
Kyle Hendricks,CHC,2024,0.8,34,5.0,24,5.45,5.92,6.06,5.06,1.45,15.3,7.6,7.8,18.8,46.0,33.3,64.5,72.1,88.2,81.2,40.5,0.48,44.4,35.3,68.4,18.5,12.4,23.6,0.0,24.0,0.0,1.0,2500000.0,2500000.0
