Player,QO,Length,Total,AAV,Year,,,
Max Fried,1,8,218000000,27250000,2025,,,
Blake Snell,0,5,182000000,36400000,2025,,,
Nathan Eovaldi,0,3,75000000,25000000,2025,,,
Luis Severino,1,3,66999999,22333333,2025,,,
Yusei Kikuchi,0,3,63675000,21225000,2025,,,
Clay Holmes,0,3,38000001,12666667,2025,,,
Frankie Montas,0,2,34000000,17000000,2025,,,
Matt Boyd,0,2,29000000,14500000,2025,,,
Shane Bieber,0,2,26000000,13000000,2025,,,
Nick Martinez,1,1,21050000,21050000,2025,,,
Alex Cobb,0,1,15000000,15000000,2025,,,
Kyle Hendricks,0,1,2500000,2500000,2025,,,
Aaron Nola,1,7,172000003,24571429,2024,,,
Eduardo Rodriguez,0,4,80000000,20000000,2024,,,
Sonny Gray,1,3,75000000,25000000,2024,,,
Blake Snell,1,2,62000000,31000000,2024,,,
Seth Lugo,0,3,45000000,15000000,2024,,,
Jordan Hicks,0,4,44000000,11000000,2024,,,
Lucas Giolito,0,2,38500000,19250000,2024,,,
Marcus Stroman,0,2,37000000,18500000,2024,,,
Michael Wacha,0,2,32000000,16000000,2024,,,
Sean Manaea,0,2,28000000,14000000,2024,,,
Nick Martinez,0,2,26000000,13000000,2024,,,
Jordan Montgomery,0,1,25000000,25000000,2024,,,
Kenta Maeda,0,2,24000000,12000000,2024,,,
Tyler Mahle,0,2,22000000,11000000,2024,,,
Frankie Montas,0,1,16000000,16000000,2024,,,
Jack Flaherty,0,1,14000000,14000000,2024,,,
Kyle Gibson,0,1,13000000,13000000,2024,,,
Luis Severino,0,1,13000000,13000000,2024,,,
Lance Lynn,0,1,11000000,11000000,2024,,,
Clayton Kershaw,0,2,10000000,5000000,2024,,,
Wade Miley,0,1,8500000,8500000,2024,,,
Alex Wood,0,1,8500000,8500000,2024,,,
Martín Pérez,0,1,8000000,8000000,2024,,,
Jakob Junis,0,1,7000000,7000000,2024,,,
James Paxton,0,1,7000000,7000000,2024,,,
Michael Lorenzen,0,1,4500000,4500000,2024,,,
Adam Ottavino,0,1,4500000,4500000,2024,,,
Shintaro Fujinami,0,1,3350000,3350000,2024,,,
Shelby Miller,0,1,3250000,3250000,2024,,,
Mike Clevinger,0,1,3000000,3000000,2024,,,
Chris Flexen,0,1,1750000,1750000,2024,,,
Jacob deGrom,1,5,185000000,37000000,2023,,,
Carlos Rodon,1,6,162000000,27000000,2023,,,
Justin Verlander,0,2,86666666,43333333,2023,,,
Taijuan Walker,0,4,72000000,18000000,2023,,,
Jameson Taillon,0,4,68000000,17000000,2023,,,
Chris Bassitt,1,3,63000000,21000000,2023,,,
Zach Eflin,0,3,39999999,13333333,2023,,,
Tyler Anderson,1,3,39000000,13000000,2023,,,
Nathan Eovaldi,1,2,34000000,17000000,2023,,,
Jose Quintana,0,2,26000000,13000000,2023,,,
Michael Wacha,0,4,26000000,6500000,2023,,,
Andrew Heaney,0,2,25000000,12500000,2023,,,
Sean Manaea,0,2,25000000,12500000,2023,,,
Clayton Kershaw,0,1,20000000,20000000,2023,,,
Martín Pérez,1,1,19650000,19650000,2023,,,
Drew Smyly,0,2,19000000,9500000,2023,,,
Jordan Lyles,0,2,17000000,8500000,2023,,,
Seth Lugo,0,2,15000000,7500000,2023,,,
Noah Syndergaard,0,1,13000000,13000000,2023,,,
Trevor Williams,0,2,13000000,6500000,2023,,,
Mike Clevinger,0,1,12000000,12000000,2023,,,
Matt Boyd,0,1,10000000,10000000,2023,,,
Kyle Gibson,0,1,10000000,10000000,2023,,,
Corey Kluber,0,1,10000000,10000000,2023,,,
Johnny Cueto,0,1,8500000,8500000,2023,,,
Zack Greinke,0,1,8500000,8500000,2023,,,
Michael Lorenzen,0,1,8500000,8500000,2023,,,
Rich Hill,0,1,8000000,8000000,2023,,,
Matt Moore,0,1,7500000,7500000,2023,,,
Zach Davies,0,1,5000000,5000000,2023,,,
Wade Miley,0,1,4500000,4500000,2023,,,
José Ureña,0,1,3500000,3500000,2023,,,
Vincent Velasquez,0,1,3150000,3150000,2023,,,
Shelby Miller,0,1,1500000,1500000,2023,,,
Max Scherzer,0,3,129999999,43333333,2022,,,
Robbie Ray,1,5,115000000,23000000,2022,,,
Kevin Gausman,0,5,110000000,22000000,2022,,,
Eduardo Rodriguez,1,5,77000000,15400000,2022,,,
Marcus Stroman,0,3,71000001,23666667,2022,,,
Jon Gray,0,4,56000000,14000000,2022,,,
Steven Matz,0,4,44000000,11000000,2022,,,
Carlos Rodon,0,2,44000000,22000000,2022,,,
Anthony DeSclafani,0,3,36000000,12000000,2022,,,
Yusei Kikuchi,0,3,36000000,12000000,2022,,,
Justin Verlander,1,1,25000000,25000000,2022,,,
Alex Wood,0,2,25000000,12500000,2022,,,
Noah Syndergaard,1,1,21000000,21000000,2022,,,
Alex Cobb,0,2,20000000,10000000,2022,,,
Clayton Kershaw,0,1,17000000,17000000,2022,,,
Zack Greinke,0,1,13000000,13000000,2022,,,
James Paxton,0,1,10000000,10000000,2022,,,
Tyler Anderson,0,1,8000000,8000000,2022,,,
Corey Kluber,0,1,8000000,8000000,2022,,,
Michael Lorenzen,0,1,7000000,7000000,2022,,,
Michael Wacha,0,1,7000000,7000000,2022,,,
Michael Pineda,0,1,5500000,5500000,2022,,,
Garrett Richards,0,1,5500000,5500000,2022,,,
Drew Smyly,0,1,5250000,5250000,2022,,,
Dylan Bundy,0,1,5000000,5000000,2022,,,
Rich Hill,0,1,5000000,5000000,2022,,,
Martin Pérez,0,1,4000000,4000000,2022,,,
Chris Archer,0,1,3500000,3500000,2022,,,
