Target Player,Similar Player 2,Similar Year 2,Similar Player 3,Similar Year 3,Similar Player 4,Similar Year 4,Similar Player 5,Similar Year 5,Similar Player 6,Similar Year 6
Tarik Skubal,Kevin Gausman,2021,Carlos Rodon,2022,Robbie Ray,2021,Carlos Rodon,2021,Zack Wheeler,2024
Logan Gilbert,Kevin Gausman,2021,Zack Wheeler,2024,Yusei Kikuchi,2024,Robbie Ray,2021,Eduardo Rodriguez,2021
Chris Sale,Carlos Rodon,2022,Max Scherzer,2021,Yusei Kikuchi,2024,Zack Wheeler,2024,Charlie Morton,2021
Garrett Crochet,Robbie Ray,2021,Carlos Rodon,2022,Carlos Rodon,2021,Kevin Gausman,2021,Max Scherzer,2021
Zack Wheeler,Lance Lynn,2021,Kevin Gausman,2021,Yusei Kikuchi,2024,Yu Darvish,2022,Nathan Eovaldi,2024
Pablo Lopez,Zack Wheeler,2024,Yusei Kikuchi,2024,Corbin Burnes,2024,Max Fried,2024,Nathan Eovaldi,2024
Yusei Kikuchi,Eduardo Rodriguez,2021,Zack Wheeler,2024,Charlie Morton,2021,Sean Manaea,2024,Lance Lynn,2021
Corbin Burnes,Marcus Stroman,2021,Sonny Gray,2023,Yusei Kikuchi,2024,Lucas Giolito,2023,Jon Gray,2021
Dylan Cease,Yusei Kikuchi,2024,Carlos Rodon,2022,Kevin Gausman,2021,Eduardo Rodriguez,2021,Robbie Ray,2021
Max Fried,Joe Musgrove,2022,Anthony DeSclafani,2021,Aaron Nola,2023,Michael Wacha,2024,Luis Severino,2024
Cristopher Sanchez,Zack Wheeler,2024,Yusei Kikuchi,2024,Corbin Burnes,2024,Max Fried,2024,Nathan Eovaldi,2024
Framber Valdez,Jon Gray,2021,Corbin Burnes,2024,Sonny Gray,2023,Reynaldo Lopez,2024,Nathan Eovaldi,2024
Tyler Glasnow,Clayton Kershaw,2021,Chris Sale,2023,Clayton Kershaw,2022,Reynaldo Lopez,2024,Carlos Rodon,2021
Logan Webb,Luis Severino,2024,Miles Mikolas,2022,Steven Matz,2021,Martin Perez,2022,Merrill Kelly,2022
George Kirby,Aaron Nola,2023,Joe Musgrove,2022,Eduardo Rodriguez,2021,Anthony DeSclafani,2021,Jameson Taillon,2022
Paul Skenes,Carlos Rodon,2021,Tyler Glasnow,2023,Carlos Rodon,2022,Reynaldo Lopez,2024,Clayton Kershaw,2021
Cole Ragans,Carlos Rodon,2022,Kevin Gausman,2021,Robbie Ray,2021,Yusei Kikuchi,2024,Eduardo Rodriguez,2021
Jack Flaherty,Yusei Kikuchi,2024,Alex Wood,2021,Eduardo Rodriguez,2021,Carlos Rodon,2022,Tyler Glasnow,2023
Aaron Nola,Anthony DeSclafani,2021,Marcus Stroman,2021,Sean Manaea,2024,Joe Musgrove,2022,Max Fried,2024
Sonny Gray,Yusei Kikuchi,2024,Reynaldo Lopez,2024,Clayton Kershaw,2022,Charlie Morton,2021,Charlie Morton,2022
Nathan Eovaldi,Yu Darvish,2022,Lance Lynn,2021,Sean Manaea,2024,Sonny Gray,2023,Joe Musgrove,2022
Hunter Brown,Eduardo Rodriguez,2021,Joe Musgrove,2022,Max Fried,2024,Aaron Nola,2023,Anthony DeSclafani,2021
Tanner Houck,Luis Severino,2024,Taijuan Walker,2022,Steven Matz,2021,Michael Wacha,2024,Max Fried,2024
Brandon Pfaadt,Joe Musgrove,2022,Aaron Nola,2023,Eduardo Rodriguez,2021,Marcus Stroman,2021,Anthony DeSclafani,2021
Seth Lugo,Anthony DeSclafani,2021,Kyle Gibson,2023,Merrill Kelly,2022,Corey Kluber,2022,Kyle Gibson,2022
Ranger Suarez,Zack Wheeler,2024,Yusei Kikuchi,2024,Corbin Burnes,2024,Max Fried,2024,Nathan Eovaldi,2024
Bailey Ober,Kevin Gausman,2021,Zack Wheeler,2024,Lance Lynn,2021,Robbie Ray,2021,Eduardo Rodriguez,2021
